Image,Mean_Visibility,Variance,Min,Max,Num_Landmarks
1_Color.png,0.008587,0.019067,-0.176607,0.373366,25
3_Color.png,0.010514,0.028886,-0.259777,0.462574,25
9_Color.png,0.006424,0.020447,-0.170689,0.374885,25
4_Color.png,-0.002002,0.048092,-0.409030,0.540396,25
8_Color.png,0.005311,0.027380,-0.237545,0.439287,25
6_Color.png,0.004714,0.044333,-0.372514,0.494952,25
5_Color.png,0.015954,0.038829,-0.340613,0.529661,25
2_Color.png,0.007998,0.032089,-0.274035,0.451614,25
7_Color.png,0.014214,0.043103,-0.367958,0.568554,25
